city,month,temperature,humidity,wind_speed,risk_score,risk_category
Chennai,5,41.3,65.5,9.1,72.66,High
Patna,6,48.2,86.5,2.6,88.99,Severe
Bengaluru,7,37.6,41.4,7.6,42.51,Medium
Nagpur,3,25.1,29.4,8.2,4.67,Low
Jaipur,12,20.5,27.4,3.6,4.88,Low
Ahmedabad,11,39.0,36.6,1.2,45.96,Medium
Hyderabad,5,41.5,56.4,1.9,72.36,High
Delhi,6,47.6,82.3,0.6,87.52,Severe
Thiruvananthapuram,4,39.8,61.5,1.2,70.78,High
Chandigarh,10,29.9,33.7,2.2,14.21,Low
Bengaluru,5,35.7,58.8,2.4,47.8,Medium
Lucknow,4,49.2,75.9,6.5,87.82,Severe
Hyderabad,6,41.1,52.8,1.4,71.09,High
Patna,2,35.0,38.5,1.6,31.34,Medium
Jaipur,3,36.9,43.5,6.2,41.23,Medium
Patna,4,40.3,72.2,15.7,71.3,High
Lucknow,5,39.7,47.4,4.2,58.0,High
Delhi,1,21.7,30.7,13.7,3.86,Low
Lucknow,6,39.3,55.1,4.1,63.67,High
Varanasi,12,26.9,17.7,9.8,4.95,Low
Patna,4,39.6,60.5,13.2,68.26,High
Hyderabad,11,35.1,52.7,3.4,40.16,Medium
Nagpur,4,41.4,76.8,14.5,74.18,High
Nagpur,10,37.2,41.2,2.0,41.6,Medium
Chandigarh,6,45.0,78.7,4.5,81.99,Severe
Thiruvananthapuram,1,23.0,17.4,7.2,2.28,Low
Varanasi,4,40.1,63.7,14.6,69.47,High
Ahmedabad,2,24.8,20.1,0.8,3.89,Low
Chandigarh,5,39.2,38.1,10.4,46.43,Medium
Hyderabad,4,27.2,28.7,6.3,8.21,Low
Bhopal,4,48.3,70.2,1.7,86.04,Severe
Patna,4,39.2,79.7,4.9,72.84,High
Delhi,5,38.4,40.5,2.8,46.09,Medium
Jaipur,4,39.2,62.3,0.5,70.1,High
Varanasi,2,34.4,35.6,1.8,27.7,Medium
Patna,1,34.6,45.8,0.6,34.06,Medium
Varanasi,2,30.4,24.2,20.7,10.03,Low
Jaipur,3,37.9,37.7,5.0,41.57,Medium
Patna,2,27.2,24.2,0.4,8.29,Low
Thiruvananthapuram,5,41.3,70.5,5.9,74.2,High
Chandigarh,7,31.7,25.4,2.1,15.51,Low
Bengaluru,4,49.9,63.8,1.4,87.37,Severe
Hyderabad,11,22.2,12.7,8.8,1.07,Low
Hyderabad,4,41.5,64.4,5.7,73.33,High
Varanasi,5,40.6,56.9,1.3,71.12,High
Chennai,5,25.5,12.9,10.5,1.63,Low
Chennai,3,35.1,35.9,2.7,30.16,Medium
Hyderabad,4,46.0,75.2,6.8,82.51,Severe
Varanasi,5,29.2,17.6,12.0,8.24,Low
Ahmedabad,12,30.4,24.3,0.7,13.38,Low
Chennai,6,42.7,64.0,9.5,74.54,High
Lucknow,6,41.2,69.6,8.0,73.51,High
Lucknow,11,30.9,23.1,0.8,13.93,Low
Delhi,8,34.7,58.1,4.4,41.92,Medium
Thiruvananthapuram,8,38.9,30.5,6.2,40.43,Medium
Patna,3,27.6,11.2,1.4,6.17,Low
Chennai,6,38.1,41.5,17.4,43.11,Medium
Chennai,6,46.7,83.1,3.0,85.84,Severe
Hyderabad,6,48.2,94.7,1.5,90.81,Severe
Kolkata,5,41.2,47.1,1.6,66.02,High
Patna,11,38.4,36.8,15.3,41.26,Medium
Bengaluru,8,22.9,37.9,0.7,7.46,Low
Varanasi,5,37.2,35.4,4.7,37.33,Medium
Delhi,9,27.3,18.4,1.1,7.18,Low
Kolkata,4,41.3,47.6,13.0,65.21,High
Chandigarh,8,38.7,31.3,2.1,40.88,Medium
Patna,1,30.1,11.2,13.9,8.08,Low
Bhopal,2,23.8,33.7,13.3,4.52,Low
Chandigarh,6,37.3,34.8,20.7,34.67,Medium
Bengaluru,7,36.8,49.4,4.7,45.4,Medium
Thiruvananthapuram,2,36.7,36.0,2.0,36.23,Medium
Bengaluru,5,48.3,87.9,4.3,89.14,Severe
Mumbai,7,28.5,15.7,2.7,8.29,Low
Chennai,3,36.7,48.4,4.0,44.29,Medium
Chennai,7,37.1,43.5,8.5,41.72,Medium
Thiruvananthapuram,12,34.0,33.0,0.7,25.37,Medium
Thiruvananthapuram,7,36.0,43.8,21.0,35.16,Medium
Nagpur,12,24.4,23.9,8.3,3.4,Low
Bengaluru,8,29.7,15.3,4.3,9.86,Low
Chennai,5,21.2,31.6,2.0,5.99,Low
Lucknow,5,48.8,87.0,0.6,90.38,Severe
Mumbai,10,25.4,21.9,15.7,2.4,Low
Nagpur,1,35.5,52.7,5.2,41.7,Medium
Ahmedabad,5,41.0,47.7,2.2,65.49,High
Lucknow,10,20.1,12.7,4.9,1.72,Low
Chandigarh,1,36.5,37.0,4.7,35.62,Medium
Kolkata,6,41.7,50.3,1.2,71.58,High
Chandigarh,11,21.0,38.1,10.5,5.87,Low
Jaipur,4,47.5,64.6,4.8,83.12,Severe
Chennai,5,44.7,71.4,5.1,79.95,Severe
Varanasi,8,27.9,39.1,5.6,11.53,Low
Nagpur,5,31.9,23.5,1.7,15.58,Low
Bengaluru,10,38.6,31.7,15.2,38.58,Medium
Bengaluru,4,43.1,48.2,4.4,72.87,High
Chennai,10,28.1,20.1,1.2,8.78,Low
Thiruvananthapuram,4,39.1,55.4,2.0,63.19,High
Mumbai,4,36.5,33.8,3.9,33.89,Medium
Ahmedabad,7,30.5,24.8,7.3,12.54,Low
Nagpur,5,21.7,29.9,1.5,5.73,Low
Hyderabad,4,35.5,59.5,1.2,47.53,Medium
Kolkata,10,34.7,39.7,20.3,27.75,Medium
Patna,8,33.1,46.4,7.4,27.41,Medium
Thiruvananthapuram,4,44.9,45.4,11.9,73.94,High
Nagpur,9,29.4,27.3,1.0,12.33,Low
Varanasi,4,37.4,33.8,1.8,37.59,Medium
Jaipur,8,36.4,35.2,2.0,34.63,Medium
Chandigarh,6,49.4,75.8,2.4,88.8,Severe
Jaipur,10,28.9,26.4,12.9,9.37,Low
Varanasi,1,26.6,26.8,12.6,5.82,Low
Patna,11,20.3,35.0,1.9,6.68,Low
Chennai,5,43.0,62.2,7.9,74.92,High
Mumbai,6,20.0,27.8,7.6,4.29,Low
Nagpur,10,34.8,51.7,5.1,37.85,Medium
Nagpur,6,46.7,55.0,6.9,79.57,Severe
Patna,4,45.7,84.2,3.3,84.41,Severe
Bengaluru,11,33.4,55.1,16.7,31.91,Medium
Nagpur,8,20.5,36.1,21.8,3.59,Low
Lucknow,8,36.5,42.6,1.3,39.74,Medium
Jaipur,4,40.6,46.2,9.5,60.57,High
Chennai,4,40.4,75.2,2.5,74.26,High
Bhopal,9,33.7,59.1,1.3,38.36,Medium
Chandigarh,6,45.7,81.1,3.1,83.82,Severe
Hyderabad,4,37.1,50.0,14.6,45.65,Medium
Bhopal,9,24.7,24.4,0.9,4.73,Low
Kolkata,2,37.9,31.2,11.0,36.34,Medium
Mumbai,1,37.0,39.2,1.5,39.5,Medium
Jaipur,6,45.9,92.6,0.4,86.89,Severe
Bhopal,4,42.4,58.8,18.7,71.48,High
Chennai,5,48.0,90.3,0.4,89.79,Severe
Hyderabad,5,42.3,57.8,0.8,74.11,High
Thiruvananthapuram,7,33.2,42.3,0.7,26.87,Medium
Ahmedabad,6,42.6,52.5,4.8,72.86,High
Kolkata,3,24.4,22.4,10.5,2.73,Low
Mumbai,12,24.0,24.0,0.1,4.78,Low
Bhopal,4,37.9,32.4,5.4,38.01,Medium
Bhopal,8,26.1,27.9,0.2,7.31,Low
Hyderabad,4,40.5,75.0,1.3,74.58,High
Chandigarh,6,49.3,78.2,0.8,89.39,Severe
Patna,5,43.6,52.2,3.8,74.57,High
Ahmedabad,8,29.8,28.5,2.2,13.01,Low
Hyderabad,5,39.4,48.9,10.1,56.93,High
Delhi,10,20.3,21.4,0.7,4.16,Low
Nagpur,5,23.1,29.6,1.3,5.7,Low
Jaipur,10,22.1,18.8,0.7,3.64,Low
Hyderabad,3,27.6,19.7,1.9,7.78,Low
Varanasi,3,24.9,37.2,7.5,6.19,Low
Hyderabad,6,42.9,58.6,11.2,73.49,High
Nagpur,8,28.9,19.2,1.8,9.78,Low
Chandigarh,6,46.9,67.8,1.3,83.38,Severe
Ahmedabad,4,43.3,52.8,6.1,73.82,High
Nagpur,6,29.2,25.4,9.1,10.28,Low
Thiruvananthapuram,6,36.1,40.4,2.5,36.49,Medium
Chandigarh,6,43.7,53.5,5.4,74.72,High
Varanasi,4,44.7,51.7,11.3,74.98,High
Kolkata,6,44.8,70.4,0.6,80.66,Severe
Ahmedabad,4,41.9,58.5,8.0,72.41,High
Chennai,11,35.8,36.2,1.3,33.09,Medium
Ahmedabad,10,36.3,43.2,3.5,38.93,Medium
Nagpur,5,39.8,60.4,2.6,70.33,High
Chennai,5,41.2,52.4,1.1,71.22,High
Jaipur,7,28.6,21.8,1.8,9.82,Low
Bhopal,10,20.0,14.8,3.8,2.33,Low
Thiruvananthapuram,5,49.9,83.7,14.7,89.13,Severe
Thiruvananthapuram,11,30.5,25.9,16.8,11.18,Low
Kolkata,5,41.2,58.6,3.4,72.07,High
Bengaluru,9,21.3,29.7,30.0,0.94,Low
Mumbai,10,31.7,17.3,6.5,13.1,Low
Hyderabad,5,34.5,40.2,9.2,29.13,Medium
Ahmedabad,5,25.9,14.5,2.4,3.94,Low
Patna,10,28.2,20.2,1.8,8.86,Low
Kolkata,4,40.8,66.2,10.2,71.82,High
Lucknow,8,39.6,31.4,0.0,44.77,Medium
Nagpur,6,22.3,33.8,14.3,4.38,Low
Patna,4,41.3,60.5,4.5,72.43,High
Ahmedabad,11,28.3,36.4,5.9,11.58,Low
Chennai,5,28.8,25.4,6.8,10.03,Low
Delhi,10,30.5,39.2,0.2,16.82,Low
Chandigarh,5,49.1,74.9,10.0,86.87,Severe
Chandigarh,6,39.7,75.9,4.7,72.92,High
Patna,4,39.4,53.0,1.8,62.42,High
Ahmedabad,4,39.7,37.2,2.3,49.22,Medium
Hyderabad,3,33.8,40.4,12.5,26.13,Medium
Kolkata,11,33.6,49.3,3.8,31.52,Medium
Chandigarh,4,43.7,53.3,7.2,74.38,High
Kolkata,5,40.6,66.9,15.2,70.81,High
Patna,5,25.8,27.4,1.9,6.44,Low
Nagpur,10,31.7,15.3,7.7,12.5,Low
Kolkata,6,48.2,89.1,0.7,89.82,Severe
Chandigarh,6,42.6,45.4,2.1,71.62,High
Jaipur,6,44.9,57.2,1.5,78.03,Severe
Mumbai,6,39.8,30.1,12.4,42.56,Medium
Jaipur,11,34.0,44.8,3.0,30.73,Medium
Nagpur,7,21.6,17.8,2.9,3.08,Low
Hyderabad,1,33.7,51.9,1.3,33.85,Medium
Kolkata,4,49.9,69.0,0.9,88.49,Severe
Hyderabad,10,29.4,24.4,0.2,11.89,Low
Bengaluru,3,27.7,35.5,8.1,10.07,Low
Varanasi,10,34.4,59.1,0.2,41.88,Medium
Chandigarh,9,35.0,38.4,1.0,31.39,Medium
Hyderabad,6,47.2,83.6,0.5,87.16,Severe
Bhopal,5,43.9,53.1,12.8,73.73,High
Nagpur,6,23.0,11.2,2.2,1.87,Low
Nagpur,6,22.8,26.6,2.8,4.85,Low
Hyderabad,8,35.2,50.4,5.0,38.77,Medium
Chandigarh,12,36.1,49.0,3.6,42.06,Medium
Jaipur,11,39.2,41.4,8.3,49.47,Medium
Hyderabad,4,44.9,45.9,17.7,73.07,High
Bhopal,5,40.4,46.5,21.1,57.9,High
Mumbai,9,23.8,22.5,14.3,2.12,Low
Jaipur,6,41.0,45.3,9.8,61.66,High
Bhopal,5,24.9,29.4,0.1,5.86,Low
Jaipur,3,39.9,34.7,4.4,47.73,Medium
Hyderabad,6,40.9,64.0,21.3,69.69,High
Chennai,10,35.9,54.7,6.8,44.84,Medium
Jaipur,8,38.2,35.9,11.1,40.52,Medium
Thiruvananthapuram,2,29.4,22.9,1.3,11.4,Low
Chennai,6,28.0,39.8,6.5,11.68,Low
Chennai,5,36.6,34.0,23.3,31.14,Medium
Ahmedabad,3,21.0,24.6,7.1,3.74,Low
Chandigarh,4,40.7,47.2,4.6,62.95,High
Chennai,6,35.7,33.8,2.9,31.18,Medium
Patna,10,27.4,33.4,7.3,9.3,Low
Chennai,5,29.4,23.8,0.4,11.73,Low
Lucknow,6,39.5,69.2,2.5,71.62,High
Thiruvananthapuram,3,23.0,22.2,5.1,3.59,Low
Kolkata,5,47.8,75.2,0.1,86.5,Severe
Jaipur,5,39.6,67.5,1.0,71.69,High
Thiruvananthapuram,10,36.3,44.9,9.9,39.01,Medium
Hyderabad,7,34.7,36.5,0.9,29.34,Medium
Delhi,2,34.1,42.8,0.8,30.41,Medium
Bengaluru,7,37.1,50.1,27.7,43.55,Medium
Lucknow,12,24.8,29.0,5.8,4.83,Low
Jaipur,4,35.2,51.7,9.7,38.87,Medium
Bengaluru,5,44.8,62.7,2.2,78.85,Severe
Chennai,4,29.7,24.3,30.0,7.38,Low
Mumbai,6,23.2,10.9,0.8,2.05,Low
Kolkata,4,47.5,86.7,4.3,87.62,Severe
Bengaluru,3,25.9,32.1,4.5,7.11,Low
Bhopal,5,24.2,28.6,2.4,5.32,Low
Mumbai,4,48.6,88.5,0.3,90.41,Severe
Delhi,8,35.2,37.3,2.0,31.37,Medium
Chandigarh,9,34.8,54.4,5.8,39.55,Medium
Kolkata,8,38.0,35.1,10.7,39.25,Medium
Nagpur,9,35.7,53.1,10.3,42.08,Medium
Lucknow,7,36.4,33.1,5.7,32.84,Medium
Lucknow,4,43.4,60.6,14.5,74.14,High
Thiruvananthapuram,3,27.5,26.2,3.5,8.66,Low
Lucknow,10,35.4,34.0,0.8,30.57,Medium
Chennai,6,40.3,56.7,4.0,70.15,High
Chandigarh,1,23.7,39.4,1.2,7.68,Low
Mumbai,3,34.5,42.5,2.1,31.55,Medium
Mumbai,11,37.3,43.3,17.3,40.97,Medium
Hyderabad,4,38.6,40.5,7.1,46.25,Medium
Chennai,11,36.4,45.1,1.2,41.03,Medium
Patna,7,33.4,47.7,11.7,28.52,Medium
Jaipur,4,48.2,65.3,4.6,84.41,Severe
Thiruvananthapuram,7,29.6,22.8,0.1,11.9,Low
Bengaluru,9,26.8,27.3,7.9,7.02,Low
Chandigarh,7,33.0,48.5,1.3,29.13,Medium
Jaipur,6,43.4,50.2,6.8,73.35,High
Kolkata,5,47.7,64.0,3.4,83.55,Severe
Bhopal,8,28.3,38.4,6.0,11.96,Low
Kolkata,6,45.5,69.2,2.0,81.31,Severe
Ahmedabad,9,20.6,38.5,7.5,6.45,Low
Mumbai,8,37.9,43.6,1.7,46.46,Medium
Bengaluru,4,34.4,33.4,8.1,25.64,Medium
Kolkata,5,39.3,67.7,0.8,71.29,High
Jaipur,8,28.8,23.1,6.6,9.6,Low
Ahmedabad,9,22.0,20.0,16.9,1.18,Low
Chandigarh,12,22.2,21.2,15.8,1.61,Low
Jaipur,12,23.6,30.2,2.4,5.64,Low
Bhopal,5,39.8,74.2,6.1,72.5,High
Varanasi,1,35.9,52.9,0.6,44.5,Medium
Chennai,6,42.6,57.0,5.0,73.73,High
Lucknow,9,38.3,38.0,2.2,43.9,Medium
Varanasi,6,44.9,92.6,0.6,85.26,Severe
Kolkata,5,44.2,62.1,0.4,78.07,Severe
Lucknow,6,46.6,69.6,3.8,82.85,Severe
Nagpur,7,36.9,44.5,10.8,41.18,Medium
Varanasi,6,36.4,42.8,3.3,39.12,Medium
Chandigarh,9,31.3,30.1,6.8,15.03,Low
Bengaluru,7,33.3,46.5,3.8,28.82,Medium
Nagpur,3,36.1,40.4,3.6,36.31,Medium
Chandigarh,8,39.1,38.2,0.5,47.73,Medium
Mumbai,4,35.2,48.6,1.1,38.22,Medium
Delhi,4,34.1,50.6,0.8,34.84,Medium
Mumbai,7,31.3,29.3,6.7,14.82,Low
Thiruvananthapuram,9,25.2,18.8,17.8,1.11,Low
Nagpur,5,40.3,46.1,2.4,60.1,High
Hyderabad,6,41.5,58.5,7.3,71.88,High
Varanasi,1,35.8,57.9,0.6,47.89,Medium
Mumbai,5,40.7,70.8,3.6,73.68,High
Patna,6,39.8,77.3,11.3,72.26,High
Patna,6,47.2,89.0,4.9,87.5,Severe
Lucknow,2,31.1,36.3,1.8,17.34,Low
Kolkata,5,39.9,62.8,7.1,70.22,High
Varanasi,2,30.4,22.2,4.8,12.28,Low
Bhopal,6,25.1,10.9,3.9,1.69,Low
Ahmedabad,3,30.4,21.3,2.1,12.55,Low
Varanasi,9,21.0,29.3,8.6,4.43,Low
Chandigarh,7,26.6,11.5,3.3,4.31,Low
Jaipur,6,35.9,34.2,4.2,31.89,Medium
Delhi,4,22.0,39.2,1.6,7.57,Low
Bengaluru,4,41.3,60.1,3.9,72.45,High
Chennai,6,23.2,18.1,3.8,2.99,Low
Mumbai,2,23.3,22.4,0.8,4.35,Low
Chandigarh,12,33.9,55.3,2.7,36.57,Medium
Nagpur,6,40.0,78.6,3.7,74.1,High
Delhi,5,43.5,51.5,1.4,74.67,High
Bengaluru,6,40.8,69.1,2.2,73.73,High
Mumbai,6,27.3,29.1,4.9,8.68,Low
Chandigarh,5,45.1,87.7,2.8,84.23,Severe
Kolkata,12,23.6,10.0,19.8,0.0,Low
